# TStellate_CT2 Optimisation
# Monday 5 November  23:11:24 EST 2012
 
#param.w.x[lsr][ts] = 0.00362462	[1e-07,0.3]
#param.w.x[hsr][ts] = 0.002329	[1e-07,0.3]
#param.w.x[ds][ts] = 0.000116176	[1e-07,0.3]
#param.w.x[tv][ts] = 0.0004617	[1e-07,0.3]
#param.w.x[glg][ts] = 0.000503486	[1e-07,0.3]
#param.ts_gleak = 0.000473644	[5e-05,0.005]
#param.ts_erev = -64.985	[0.03,0.08]
# final error=20.061806
# Time	Error Vec	 Reference Vec (mV)
14.40	-48.765195	-58.144651
14.50	-50.942391	-57.879241
14.60	-52.609590	-57.814987
14.70	-52.706813	-57.856045
14.80	-52.804035	-57.918241
14.90	-52.901257	-57.861317
15.00	-52.998479	-57.930054
15.10	-53.095701	-58.086415
15.20	-53.052466	-58.342101
15.30	-52.977849	-58.501132
15.40	-52.903232	-58.568885
15.50	-52.828616	-58.583848
15.60	-52.753999	-58.581063
15.70	-52.679382	-58.574222
15.80	-52.604765	-58.564353
15.90	-51.476450	-58.544067
16.00	-49.987843	-58.500180
16.10	-48.499235	-58.406864
16.20	-48.675208	-58.183994
16.30	-49.355623	-58.092512
16.40	-50.036039	-58.095288
16.50	-50.716455	-58.343549
16.60	-51.396870	-58.564629
16.70	-52.077286	-58.680721
16.80	-53.386697	-58.623842
16.90	-53.615853	-58.485475
17.00	-53.845009	-58.532230
17.10	-54.050278	-58.699593
17.20	-53.774492	-58.985731
17.30	-53.498705	-59.174339
17.40	-53.222919	-59.270604
17.50	-52.822527	-59.302704
17.60	-52.340130	-59.301482
17.70	-51.857733	-59.283409
17.80	-51.375336	-59.252412
17.90	-50.892939	-59.213028
18.00	-48.710486	-59.163817
18.10	-46.443485	-59.103996
18.20	-46.383911	-59.033508
18.30	-46.324336	-58.947967
18.40	-46.264762	-58.852212
18.50	-46.205187	-58.752467
18.60	-46.157002	-58.650150
18.70	-46.413817	-58.547870
18.80	-46.670632	-58.443155
18.90	-46.927448	-58.322603
19.00	-47.388608	-58.149097
19.10	-48.251152	-57.752417
19.20	-49.113695	-57.639509
19.30	-49.976239	-57.564252
19.40	-50.681858	-57.749182
19.50	-51.020397	-57.931230
19.60	-51.358936	-58.028313
19.70	-51.697475	-58.008645
19.80	-52.036014	-57.939059
19.90	-52.374553	-57.857716
20.00	-52.839439	-57.774911
20.10	-53.361647	-57.689999
20.20	-53.883856	-57.598442
20.30	-54.406064	-57.491844
20.40	-54.224593	-57.343294
20.50	-53.916901	-57.075807
20.60	-53.609209	-56.939398
20.70	-53.301516	-56.901604
20.80	-52.993824	-57.128958
20.90	-52.686132	-57.328967
21.00	-52.378440	-57.456488
21.10	-54.580800	-57.515327
21.20	-54.565995	-57.530739
21.30	-54.551190	-57.518324
21.40	-54.536385	-57.466151
21.50	-54.521580	-57.316903
21.60	-54.506775	-56.971045
21.70	-54.491970	-56.947441
21.80	-54.477165	-56.928577
21.90	-54.462360	-57.223882
22.00	-54.447555	-57.464252
